Период,Контрагент,ТМ,Стоимость,Валовый Доход,Тип,Количество
2022-11-01,Вайлдберриз,Thomas Munz,1990580.9039989,1234264.15291583,План,0
2022-11-01,Вайлдберриз,Salamander,650852.745301871,422424.569717609,План,0
2022-11-02,Вайлдберриз,Thomas Munz,1778370.37223072,1102682.5368627,План,0
2022-11-02,Вайлдберриз,Salamander,581467.066525476,377391.010724033,План,0
2022-11-03,Вайлдберриз,Thomas Munz,1690837.52029571,1048407.59574936,План,0
2022-11-03,Вайлдберриз,Salamander,552846.779416544,358815.514877307,План,0
2022-11-04,Вайлдберриз,Thomas Munz,1679037.76679814,1041091.13213513,План,0
2022-11-04,Вайлдберриз,Salamander,548988.658431687,356311.469056327,План,0
2022-11-05,Вайлдберриз,Thomas Munz,1732188.701062,1074047.48810342,План,0
2022-11-05,Вайлдберриз,Salamander,566367.219338955,367590.719495931,План,0
2022-11-06,Вайлдберриз,Thomas Munz,1922493.37085467,1192046.32532009,План,0
2022-11-06,Вайлдберриз,Salamander,628590.420882536,407975.598146644,План,0
2022-11-07,Вайлдберриз,Thomas Munz,2009833.26060108,1246201.61979572,План,0
2022-11-07,Вайлдберриз,Salamander,657147.615871003,426510.145158119,План,0
2022-11-08,Вайлдберриз,Thomas Munz,1958467.8076138,1214352.35549648,План,0
2022-11-08,Вайлдберриз,Salamander,640352.847055887,415609.794746381,План,0
2022-11-09,Вайлдберриз,Thomas Munz,1749680.76757455,1084893.48316621,План,0
2022-11-09,Вайлдберриз,Salamander,572086.534483506,371302.740773334,План,0
2022-11-10,Вайлдберриз,Thomas Munz,1663560.04156991,1031494.13390235,План,0
2022-11-10,Вайлдберриз,Salamander,543927.964874553,353026.914579486,План,0
2022-11-11,Вайлдберриз,Thomas Munz,3303901.2957835,2048591.40664196,План,0
2022-11-11,Вайлдберриз,Salamander,1080264.1702466,701126.530681098,План,0
2022-11-12,Вайлдберриз,Thomas Munz,3408488.24674966,2113440.78009921,План,0
2022-11-12,Вайлдберриз,Salamander,1114460.57192127,723321.105978793,План,0
2022-11-13,Вайлдберриз,Thomas Munz,3782957.39661319,2345631.21612767,План,0
2022-11-13,Вайлдберриз,Salamander,1236899.34028779,802787.843143729,План,0
2022-11-14,Вайлдберриз,Thomas Munz,1977409.57508998,1226097.24089237,План,0
2022-11-14,Вайлдберриз,Salamander,646546.1654676,419629.459538574,План,0
2022-11-15,Вайлдберриз,Thomas Munz,1859940.96207904,1153260.56400027,План,0
2022-11-15,Вайлдберриз,Salamander,608137.895242871,394701.244761276,План,0
2022-11-16,Вайлдберриз,Thomas Munz,1661657.60678948,1030314.524951,План,0
2022-11-16,Вайлдберриз,Salamander,543305.932935477,352623.195649035,План,0
2022-11-17,Вайлдберриз,Thomas Munz,1579869.4531332,979601.596886471,План,0
2022-11-17,Вайлдберриз,Salamander,516563.968198739,335266.792024924,План,0
2022-11-18,Вайлдберриз,Thomas Munz,1882612.92755613,1167318.36703068,План,0
2022-11-18,Вайлдберриз,Salamander,615550.862453853,399512.501235239,План,0
2022-11-19,Вайлдберриз,Thomas Munz,1942208.15402184,1204270.52082848,План,0
2022-11-19,Вайлдберриз,Salamander,635036.489324971,412159.305917444,План,0
2022-11-20,Вайлдберриз,Thomas Munz,2155586.3392006,1336576.14299701,План,0
2022-11-20,Вайлдберриз,Salamander,704803.951341779,457440.654633382,План,0
2022-11-21,Вайлдберриз,Thomas Munz,2253515.76567293,1397297.50346399,План,0
2022-11-21,Вайлдберриз,Salamander,736823.567292736,478222.425300006,План,0
2022-11-22,Вайлдберриз,Thomas Munz,1849654.91004111,1146882.67437019,План,0
2022-11-22,Вайлдберриз,Salamander,604774.703526445,392518.424109533,План,0
2022-11-23,Вайлдберриз,Thomas Munz,1652468.12338053,1024616.56515811,План,0
2022-11-23,Вайлдберриз,Salamander,540301.282136,350673.079696875,План,0
2022-11-24,Вайлдберриз,Thomas Munz,1571132.28365342,974184.095359568,План,0
2022-11-24,Вайлдберриз,Salamander,513707.2087821,333412.662383355,План,0
2022-11-25,Вайлдберриз,Thomas Munz,1560167.91041433,967385.611147744,План,0
2022-11-25,Вайлдберриз,Salamander,510122.228935846,331085.894032247,План,0
2022-11-26,Вайлдберриз,Thomas Munz,1609555.94902001,998008.7752258,План,0
2022-11-26,Вайлдберриз,Salamander,526270.450013925,341566.613964447,План,0
2022-11-27,Вайлдберриз,Thomas Munz,1786387.7302245,1107653.71766371,План,0
2022-11-27,Вайлдберриз,Salamander,584088.471890028,379092.387942105,План,0
2022-11-28,Вайлдберриз,Thomas Munz,1867544.2687944,1157975.01137769,План,0
2022-11-28,Вайлдберриз,Salamander,610623.919819478,396314.755451153,План,0
2022-11-29,Вайлдберриз,Thomas Munz,2318119.57333304,1437355.2392619,План,0
2022-11-29,Вайлдберриз,Salamander,757946.831103851,491932.109542489,План,0
2022-11-30,Вайлдберриз,Thomas Munz,2070991.01584964,1284122.62306891,План,0
2022-11-30,Вайлдберриз,Salamander,677144.136896628,439488.536739123,План,0
2022-11-01,Ламода,Thomas Munz,3139157.0643155,1987977.4291241,План,0
2022-11-01,Ламода,ПТМ,364398.266142456,222282.942346898,План,0
2022-11-01,Ламода,Salamander,995377.340774446,624133.942808635,План,0
2022-11-02,Ламода,Thomas Munz,3011302.84306788,1907009.41737731,План,0
2022-11-02,Ламода,ПТМ,349556.747993767,213229.616276198,План,0
2022-11-02,Ламода,Salamander,954836.777768246,598713.692219994,План,0
2022-11-03,Ламода,Thomas Munz,2805689.97551767,1776798.11177753,План,0
2022-11-03,Ламода,ПТМ,325688.884456899,198670.219518708,План,0
2022-11-03,Ламода,Salamander,889640.170800837,557833.300736846,План,0
2022-11-04,Ламода,Thomas Munz,2954059.03267161,1870757.83751262,План,0
2022-11-04,Ламода,ПТМ,342911.796872044,209176.196091947,План,0
2022-11-04,Ламода,Salamander,936685.665670113,587332.355016402,План,0
2022-11-05,Ламода,Thomas Munz,3221193.12342984,2039929.5393729,План,0
2022-11-05,Ламода,ПТМ,373921.140305793,228091.895586534,План,0
2022-11-05,Ламода,Salamander,1021389.68507448,640444.528095861,План,0
2022-11-06,Ламода,Thomas Munz,3186381.1382189,2017883.67182168,План,0
2022-11-06,Ламода,ПТМ,369880.110566935,225626.86744583,План,0
2022-11-06,Ламода,Salamander,1010351.35199448,633523.134504668,План,0
2022-11-07,Ламода,Thomas Munz,3021271.58998313,1913322.46366909,План,0
2022-11-07,Ламода,ПТМ,350713.93574102,213935.500802022,План,0
2022-11-07,Ламода,Salamander,957997.710653112,600695.699870329,План,0
2022-11-08,Ламода,Thomas Munz,3532443.14562063,2237039.14754237,План,0
2022-11-08,Ламода,ПТМ,410051.530120441,250131.433373469,План,0
2022-11-08,Ламода,Salamander,1120082.17259797,702327.925316564,План,0
2022-11-09,Ламода,Thomas Munz,3388570.83906458,2145927.14127777,План,0
2022-11-09,Ламода,ПТМ,393350.607554028,239943.870607957,План,0
2022-11-09,Ламода,Salamander,1074462.52663035,673722.924638975,План,0
2022-11-10,Ламода,Thomas Munz,3157197.97375446,1999402.44546789,План,0
2022-11-10,Ламода,ПТМ,366492.483151832,223560.414722617,План,0
2022-11-10,Ламода,Salamander,1001097.82945806,627720.875131325,План,0
2022-11-11,Ламода,Thomas Munz,6648310.59289156,4210267.63863344,План,0
2022-11-11,Ламода,ПТМ,771746.301058202,470765.243645503,План,0
2022-11-11,Ламода,Salamander,2108074.74204479,1321831.37649489,План,0
2022-11-12,Ламода,Thomas Munz,7249514.01694914,4591000.04954872,План,0
2022-11-12,Ламода,ПТМ,841534.935662013,513336.310753828,План,0
2022-11-12,Ламода,Salamander,2298706.89368369,1441363.93119009,План,0
2022-11-13,Ламода,Thomas Munz,7171167.27862137,4541384.3265218,План,0
2022-11-13,Ламода,ПТМ,832440.32363094,507788.597414873,План,0
2022-11-13,Ламода,Salamander,2273864.37498925,1425786.86457735,План,0
2022-11-14,Ламода,Thomas Munz,3399788.51023863,2153031.11111568,План,0
2022-11-14,Ламода,ПТМ,394652.772384341,240738.191154448,План,0
2022-11-14,Ламода,Salamander,1078019.47375792,675953.2460901,План,0
2022-11-15,Ламода,Thomas Munz,3094977.82485422,1959999.43086359,План,0
2022-11-15,Ламода,ПТМ,359269.87086648,219154.621228553,План,0
2022-11-15,Ламода,Salamander,981368.798674946,615350.131629289,План,0
2022-11-16,Ламода,Thomas Munz,2968922.97271777,1880170.93049084,План,0
2022-11-16,Ламода,ПТМ,344637.226300993,210228.708043606,План,0
2022-11-16,Ламода,Salamander,941398.787318202,590287.635468004,План,0
2022-11-17,Ламода,Thomas Munz,2766203.81832867,1751792.16666351,План,0
2022-11-17,Ламода,ПТМ,321105.269517761,195874.214405834,План,0
2022-11-17,Ламода,Salamander,877119.731289553,549982.578244214,План,0
2022-11-18,Ламода,Thomas Munz,2912484.78878598,1844429.54084437,План,0
2022-11-18,Ламода,ПТМ,338085.793560416,206232.334071853,План,0
2022-11-18,Ламода,Salamander,923503.126703204,579066.474646607,План,0
2022-11-19,Ламода,Thomas Munz,3175859.34132357,2011220.38791674,План,0
2022-11-19,Ламода,ПТМ,368658.723912236,224881.821586464,План,0
2022-11-19,Ламода,Salamander,1007015.05565783,631431.168270687,План,0
2022-11-20,Ламода,Thomas Munz,3141537.28605218,1989484.78507727,План,0
2022-11-20,Ламода,ПТМ,364674.56600771,222451.485264703,План,0
2022-11-20,Ламода,Salamander,996132.071657346,624607.183601254,План,0
2022-11-21,Ламода,Thomas Munz,2978751.42348088,1886395.12949713,План,0
2022-11-21,Ламода,ПТМ,345778.128251283,210924.658233283,План,0
2022-11-21,Ламода,Salamander,944515.234499429,592241.749136354,План,0
2022-11-22,Ламода,Thomas Munz,2892041.15355647,1831482.91709384,План,0
2022-11-22,Ламода,ПТМ,335712.664379984,204784.72527179,План,0
2022-11-22,Ламода,Salamander,917020.771455091,575001.827227023,План,0
2022-11-23,Ламода,Thomas Munz,2774251.67634066,1756888.7450611,План,0
2022-11-23,Ламода,ПТМ,322039.477474115,196444.08125921,План,0
2022-11-23,Ламода,Salamander,879671.580509832,551582.670641401,План,0
2022-11-24,Ламода,Thomas Munz,3101789.6997469,1964313.28112951,План,0
2022-11-24,Ламода,ПТМ,360060.603967505,219636.968420178,План,0
2022-11-24,Ламода,Salamander,983528.737084349,616704.483210807,План,0
2022-11-25,Ламода,Thomas Munz,3265816.95053264,2068189.08780069,План,0
2022-11-25,Ламода,ПТМ,379101.144011165,231251.697846811,План,0
2022-11-25,Ламода,Salamander,1035539.19892381,649316.733143986,План,0
2022-11-26,Ламода,Thomas Munz,2967619.29576899,1879345.33295113,План,0
2022-11-26,Ламода,ПТМ,344485.893439969,210136.394998381,План,0
2022-11-26,Ламода,Salamander,940985.411858509,590028.435619916,План,0
2022-11-27,Ламода,Thomas Munz,2935547.72629848,1859034.92639367,План,0
2022-11-27,Ламода,ПТМ,340762.975450178,207865.415024608,План,0
2022-11-27,Ламода,Salamander,930816.021515824,583651.897365989,План,0
2022-11-28,Ламода,Thomas Munz,2783435.67884122,1762704.82539924,План,0
2022-11-28,Ламода,ПТМ,323105.570861251,197094.398225363,План,0
2022-11-28,Ламода,Salamander,882583.683281172,553408.653723481,План,0
2022-11-29,Ламода,Thomas Munz,3804081.40315856,2409063.26542121,План,0
2022-11-29,Ламода,ПТМ,441583.724284916,269366.071813799,План,0
2022-11-29,Ламода,Salamander,1206214.39245862,756335.62649917,План,0
2022-11-30,Ламода,Thomas Munz,3649145.58586794,2310944.91663326,План,0
2022-11-30,Ламода,ПТМ,423598.532073331,258395.104564732,План,0
2022-11-30,Ламода,Salamander,1157086.68121455,725530.954879795,План,0
2022-11-01,ОЗОН,Thomas Munz,406370.099875443,247885.771665649,План,0
2022-11-01,ОЗОН,Salamander,4917.05744645833,3083.15307176673,План,0
2022-11-02,ОЗОН,Thomas Munz,380547.658052961,232134.081471368,План,0
2022-11-02,ОЗОН,Salamander,4604.6072197121,2887.23673626393,План,0
2022-11-03,ОЗОН,Thomas Munz,356960.123967299,217745.685055621,План,0
2022-11-03,ОЗОН,Salamander,4319.19926239672,2708.27677293517,План,0
2022-11-04,ОЗОН,Thomas Munz,368680.808422377,224895.302883033,План,0
2022-11-04,ОЗОН,Salamander,4461.01894547649,2797.20227284759,План,0
2022-11-05,ОЗОН,Thomas Munz,395043.416091751,240976.494258198,План,0
2022-11-05,ОЗОН,Salamander,4780.00515137227,2997.21687736826,План,0
2022-11-06,ОЗОН,Thomas Munz,405552.338409157,247386.937149599,План,0
2022-11-06,ОЗОН,Salamander,4907.16257449688,3076.94866898826,План,0
2022-11-07,ОЗОН,Thomas Munz,397755.830682626,242631.067230329,План,0
2022-11-07,ОЗОН,Salamander,4812.82522934068,3017.79612121598,План,0
2022-11-08,ОЗОН,Thomas Munz,437517.262261811,266885.54154465,План,0
2022-11-08,ОЗОН,Salamander,5293.93651997993,3319.46836518468,План,0
2022-11-09,ОЗОН,Thomas Munz,409715.60053879,249926.527158723,План,0
2022-11-09,ОЗОН,Salamander,4957.53783355838,3108.53557567132,План,0
2022-11-10,ОЗОН,Thomas Munz,384320.146149234,234435.299309813,План,0
2022-11-10,ОЗОН,Salamander,4650.25413293514,2915.85881811934,План,0
2022-11-11,ОЗОН,Thomas Munz,793878.378349544,484265.831777904,План,0
2022-11-11,ОЗОН,Salamander,9605.88781763808,6023.20043125175,План,0
2022-11-12,ОЗОН,Thomas Munz,850644.837974021,518893.373649349,План,0
2022-11-12,ОЗОН,Salamander,10292.759078814,6453.89079065116,План,0
2022-11-13,ОЗОН,Thomas Munz,873273.64320867,532696.945440635,План,0
2022-11-13,ОЗОН,Salamander,10566.5664660149,6625.57682363194,План,0
2022-11-14,ОЗОН,Thomas Munz,428242.732775555,261228.078312879,План,0
2022-11-14,ОЗОН,Salamander,5181.71518704532,3249.10198221628,План,0
2022-11-15,ОЗОН,Thomas Munz,393445.572269234,240001.809484226,План,0
2022-11-15,ОЗОН,Salamander,4760.67132275595,2985.0939453634,План,0
2022-11-16,ОЗОН,Thomas Munz,368444.408543483,224751.09895066,План,0
2022-11-16,ОЗОН,Salamander,4458.15851901989,2795.40869351437,План,0
2022-11-17,ОЗОН,Thomas Munz,345607.071717772,210820.322883314,План,0
2022-11-17,ОЗОН,Salamander,4181.82791022126,2622.14051948595,План,0
2022-11-18,ОЗОН,Thomas Munz,356954.981921374,217742.548407472,План,0
2022-11-18,ОЗОН,Salamander,4319.13704390374,2708.23775994014,План,0
2022-11-19,ОЗОН,Thomas Munz,382479.13161685,233312.280396395,План,0
2022-11-19,ОЗОН,Salamander,4627.97795115338,2901.89093610138,План,0
2022-11-20,ОЗОН,Thomas Munz,392653.819558634,239518.840309832,План,0
2022-11-20,ОЗОН,Salamander,4751.09115540949,2979.08687249433,План,0
2022-11-21,ОЗОН,Thomas Munz,385105.278351723,234914.229974085,План,0
2022-11-21,ОЗОН,Salamander,4659.75419247172,2921.81566081665,План,0
2022-11-22,ОЗОН,Thomas Munz,375487.928392674,229047.646244848,План,0
2022-11-22,ОЗОН,Salamander,4543.3847493315,2848.84827941337,План,0
2022-11-23,ОЗОН,Thomas Munz,351627.867849499,214493.008682815,План,0
2022-11-23,ОЗОН,Salamander,4254.679235804,2667.82064234367,План,0
2022-11-24,ОЗОН,Thomas Munz,395799.447375747,241437.673361419,План,0
2022-11-24,ОЗОН,Salamander,4789.15309128189,3002.95292974101,План,0
2022-11-25,ОЗОН,Thomas Munz,408795.410002123,249365.210907033,План,0
2022-11-25,ОЗОН,Salamander,4946.40357507856,3101.55403770726,План,0
2022-11-26,ОЗОН,Thomas Munz,438026.421665145,267196.128794143,План,0
2022-11-26,ОЗОН,Salamander,5300.09732274659,3323.33138655089,План,0
2022-11-27,ОЗОН,Thomas Munz,449678.775433727,274304.064900986,План,0
2022-11-27,ОЗОН,Salamander,5441.09020801086,3411.73845765658,План,0
2022-11-28,ОЗОН,Thomas Munz,367528.302192765,224192.274052506,План,0
2022-11-28,ОЗОН,Salamander,4447.0736789814,2788.45814250152,План,0
2022-11-29,ОЗОН,Thomas Munz,485850.325708145,296368.711524508,План,0
2022-11-29,ОЗОН,Salamander,5878.76411827465,3686.17406788804,План,0
2022-11-30,ОЗОН,Thomas Munz,454977.380641867,277536.21421801,План,0
2022-11-30,ОЗОН,Salamander,5505.20306031598,3451.93927688163,План,0
2022-11-01,ИМ,Thomas Munz,644643.171706066,383562.687165109,План,0
2022-11-01,ИМ,ПТМ,58603.9247005515,31353.099714795,План,0
2022-11-01,ИМ,Salamander,102556.868225965,61226.4503309012,План,0
2022-11-02,ИМ,Thomas Munz,628761.433092111,374113.052689806,План,0
2022-11-02,ИМ,ПТМ,57160.130281101,30580.6697003891,План,0
2022-11-02,ИМ,Salamander,100030.227991927,59718.0461111803,План,0
2022-11-03,ИМ,Thomas Munz,607166.304145095,361263.950966331,План,0
2022-11-03,ИМ,ПТМ,55196.9367404631,29530.3611561478,План,0
2022-11-03,ИМ,Salamander,96594.6392958105,57666.9996595989,План,0
2022-11-04,ИМ,Thomas Munz,584413.194630984,347725.850805436,План,0
2022-11-04,ИМ,ПТМ,53128.4722391804,28423.7326479615,План,0
2022-11-04,ИМ,Salamander,92974.8264185657,55505.9713718837,План,0
2022-11-05,ИМ,Thomas Munz,564834.624998526,336076.601874123,План,0
